,Gender,UG Specialization (Major),Interests,Skills,Average CGPA/Percentage,Certification Courses,Certification Course Title,Working Status,Mapped Category
0,1,computer applications,cloud computing,"python,sql,java",85.0,1,"linux,git",1,Technology & Data Science
1,0,computer science engineering,technology,"critical thinking, analytic thinking, sql, programming, work under pressure, logical skills, problem solving skills",66.5,1,microsoft certification ,1,Technology & Data Science
2,1,psychology,understand human behaviour,"people management,communication skills",64.6,1,resilience psychology,0,Social Impact & Humanities
3,1,commerce,"sales marketing,trading,understand human behaviour,home interior design","accounting skills,critical thinking",75.53,0,no,1,Business & Entrepreneurship
4,1,instrumentation engineering,technology,"plc allen bradley,plc ladder logic,labview,business analysis,end to end projectmanagement,crossfunctional team leadership,requirements gathering,lean six sigma,lean six sigma blackbelt,productivity improvement",70.68,1,extreme productivity (blinkist summary),1,Technology & Data Science
5,1,computer science engineering,technology,"c,c ,html,java",73.15,1,"c,c++,html,java",1,Technology & Data Science
6,0,commerce,"research, sales marketing","critical thinking, analytic thinking, communication skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, problem solving skills, observation skills, reading",73.15,0,no,0,Business & Entrepreneurship
7,0,computer science engineering,technology,no,74.1,0,no,1,Technology & Data Science
8,0,computer science engineering,technology,"programming language skills,critical thinking,linux,python,sql,java",69.35,1,redhat certification,1,Technology & Data Science
9,1,physics ,"research,teaching,technology,understand human behaviour,understand human body,content writing,govt job,service,infrastructure","active listening,critical thinking,gathering information,artistic creative skills,communication skills,leadership,editing,problem solving skills,writing skills,medical knowledge,hr,good communication skills,teaching",86.45,0,no,0,Career & Professional Development
10,0,accountancy,financial analysis,"accounting skills, analytic thinking, cost accounting, team work, excel, problem solving skills, writing, tableau",63.74,1,alteryx and tableau,0,Business & Entrepreneurship
11,0,automobile engineering,"take risk for profits, technology, entrepreneurship","analytic thinking, gathering informing, communication skills, team work, presentation skills, problem solving skills",71.44,0,no,1,Business & Entrepreneurship
12,0,marketing ,"sales marketing,trading,understand human behaviour,digital marketing,market reserach,agriculture, services,construction manegement","accounting skills,business knowledge,leadership,problem solving skills,wealth management",59.0,0,no,1,Business & Entrepreneurship
13,0,automation,data analytics,"critical thinking,gathering information,presentation skills,python,sql,good communication skills",69.35,1,machine learning with python ,0,Technology & Data Science
14,0,computer applications,technology,"communication skills,writing skills,c ,python,sql,java,cloud computing",71.2,0,no,0,Technology & Data Science
15,0,"science,maths, engineering subject","research,technology,data analytics,govt job","analytical skills,data visualization skills power bi tableau ,machine learning skills,python,sql",69.35,1,"ml,tane the python,recommendation project based on market analysis ,second prize in nation level project competition ",1,Technology & Data Science
16,0,computer science engineering,"financial analysis,research,data analytics,data scientist","programming language skills,critical thinking,gathering information,leadership,machine learning skills,python,artificial intelligence,sql,java,matlab,good communication skills",64.6,0,no,0,Technology & Data Science
17,0,mechanical engineering,entrepreneurship,"python, critical thinking, analytic thinking, gathering informing, sql, programming, leadership, product knowledge, cost accounting, market study, team work, excel, logical skills, r, problem solving skills, writing, tableau",71.25,1,google data analytics course,1,Business & Entrepreneurship
18,0,electrical and electronics engineering,technology,"matlab ,embedded c, arduino, c ,c ,avr,eagle pcb,arm cortex m,kicad,software project management",81.7,1,"control systems;
control of mobile robots;
digital signal processing;
electric power systems;
electric machines;
power electronics",1,Technology & Data Science
19,0,structural engineeeing ,"research,teaching,technology,data analytics","active listening,critical thinking,analytical skills,people management,communication skills,leadership,problem solving skills,designing skills,proeficiency in software like staad pro, etabs",74.33,0,no,1,Technology & Data Science
20,0,mining,"teaching,technology,industires",hardware skills,92.0,0,no,1,Technology & Data Science
21,0,computer science engineering,"financial analysis,research,sales marketing,technology,data analytics","business knowledge,analytical skills,product knowledge,problem solving skills,risk management skills,designing skills,machine learning skills,python,sql,cloud computing,hr",61.75,0,no,0,Technology & Data Science
22,0,mechanical engineering,"technology,all fields related to data science ,industires,information technology","proeficiency in software like staad pro, etabs,cad cae autocad catia ansys proe seimensnx",73.15,1,ansys,1,Technology & Data Science
23,0,accountancy ,"financial analysis,news coverage,research,sales marketing,social justice,teaching,technology,trading,understand human behaviour,understand human body,supply chain analysis,data analytics,govt job,game industry,digital marketing","accounting skills,active listening,critical thinking,gathering information,business knowledge,analytical skills,finance related skills,people management,communication skills,negotiation skills,mass communication,leadership,product knowledge,problem solving skills,risk management skills,data visualization skills power bi tableau ,sales,interpersonal skills,wealth management",80.0,0,no,1,Business & Entrepreneurship
24,0,c language,"technology,service","programming language skills,communication skills,writing skills,machine learning skills,sales,c ,r",76.95,0,no,0,Technology & Data Science
25,0,"c,c++, java",teaching,"active listening,teaching",69.0,0,no,1,Career & Professional Development
26,0,civil engineering,market reserach,"business knowledge,civil criminal law,product knowledge",74.96,0,no,1,Business & Entrepreneurship
27,0,mechanical engineering,design,"critical thinking,problem solving skills,designing skills,interpersonal skills,python",73.15,1,"catia,autocad,pro e",1,Creative & Design
28,0,management,financial analysis,"strategic planning,financial analysis,financial modeling,marketing strategy,financial services",73.62,1,"equity derivatives;advanced financial statements analysis;
financial modelling;
integrated mangement and safety;
pricing and valuation of fixed income instruments",1,Business & Entrepreneurship
29,0,automobile engineering,"financial analysis, sales marketing, technology, entrepreneurship","business knowledge, people management, communication skills, work under pressure, leadership, market study, team work, interpersonal skills, presentation skills, designing skills, sales, design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,1,"six sigma, digital marketing.",1,Business & Entrepreneurship
30,1,electronics and communication engineering,embedded design,"creativity skills, excel, logical skills, observation skills, risk managing, designing skills, vlsi design,simulation,embedded,iot",81.8,1,"java,embedded and iot",1,Technology & Data Science
31,0,computer science engineering,research,"python, critical thinking, analytic thinking, java, sql, programming, communication skills, negotiation skills, creativity skills, excel, logical skills, interpersonal skills, presentation skills, c",75.05,0,no,1,Career & Professional Development
32,0,electronics and communication engineering,technology,no,66.5,0,no,1,Technology & Data Science
33,0,sales and marketing,sales marketing,"active listening,business knowledge,communication skills,negotiation skills,leadership,product knowledge,problem solving skills,sales,interpersonal skills",55.0,0,no,1,Business & Entrepreneurship
34,1,economics,sales marketing,business knowledge,85.0,0,no,0,Business & Entrepreneurship
35,0,computer science engineering,software job,no,76.0,0,no,1,Technology & Data Science
36,0,computer science engineering,"financial analysis,technology,trading,data analytics","business knowledge,analytical skills,negotiation skills,problem solving skills,data visualization skills power bi tableau ,machine learning skills,sql",76.47,0,no,1,Technology & Data Science
37,0,mechanical engineering,trading,"active listening,business knowledge,risk management skills,sales,good communication skills",63.0,0,no,1,Business & Entrepreneurship
38,0,computer science and business system,"financial analysis,technology,web designing,web development,social causes","accounting skills,programming language skills,critical thinking,business knowledge,analytical skills,finance related skills,communication skills,problem solving skills,c ,python,sql",87.59,1,cpp with ds,0,Technology & Data Science
39,1,pharmacy,research,"active listening, creativity skills, team work, logical skills",72.0,0,no,1,Career & Professional Development
40,1,commerce,financial analysis,"accounting skills, cost accounting",51.3,1,tax and law,0,Business & Entrepreneurship
41,1,interior design,home interior design,"programming language skills,people management,mass communication,leadership,designing skills,writing skills,architecture",74.0,0,no,1,Creative Arts & Entertainment
42,0,commerce,take risk for profits,"business knowledge, product knowledge, team work, sales",57.0,0,no,1,Business & Entrepreneurship
43,1,information technology,entrepreneurship,"gathering informing, people management, communication skills, work under pressure, leadership, team work, interpersonal skills, mass communication, observation skills, risk managing",65.55,1,digital marketing ,1,Business & Entrepreneurship
44,0,chemistry,government jobs,sports,74.1,1,no,0,Career & Professional Development
45,0,computer applications,technology,"ai, ml, python, java, sql, tableau",76.0,1,udemy,0,Technology & Data Science
46,0,automobile engineering,"research, take risk for profits, understand human behaviour","critical thinking, analytic thinking, product knowledge, team work, excel, observation skills, risk managing, reporting, reading, designing skills",76.0,0,no,1,Business & Entrepreneurship
